pincode,Districtname,statename,infected,L1-High-Infection-Danger,L2-Moderate-Infection-Danger
131102,Sonipat,HARYANA,0,0,0
131103,Sonipat,HARYANA,0,0,0
131301,Sonipat,HARYANA,0,0,0
131302,Sonipat,HARYANA,0,0,0
131304,Sonipat,HARYANA,0,0,0
131305,Sonipat,HARYANA,0,0,0
131306,Sonipat,HARYANA,0,0,0
131402,Sonipat,HARYANA,0,0,0
131403,Sonipat,HARYANA,0,0,0
131408,Sonipat,HARYANA,0,0,0
131409,Sonipat,HARYANA,0,0,0
132001,Karnal,HARYANA,0,0,0
132022,Karnal,HARYANA,0,0,0
132023,Karnal,HARYANA,0,0,0
132024,Karnal,HARYANA,0,0,0
132036,Karnal,HARYANA,0,0,0
132037,Karnal,HARYANA,0,0,0
132039,Karnal,HARYANA,0,0,0
132040,Karnal,HARYANA,0,0,0
132041,Karnal,HARYANA,0,0,0
132046,Karnal,HARYANA,0,0,0
132054,Karnal,HARYANA,0,0,0
132101,Panipat,HARYANA,0,0,0
132102,Panipat,HARYANA,0,0,0
132103,Panipat,HARYANA,0,0,0
132104,Panipat,HARYANA,0,0,0
132105,Panipat,HARYANA,0,0,0
132106,Panipat,HARYANA,0,0,0
132107,Panipat,HARYANA,0,0,0
132108,Panipat,HARYANA,0,0,0
132113,Panipat,HARYANA,0,0,0
132114,Karnal,HARYANA,0,0,0
132115,Panipat,HARYANA,0,0,0
132116,Karnal,HARYANA,0,0,0
132117,Karnal,HARYANA,0,0,0
132122,Panipat,HARYANA,0,0,0
132140,Panipat,HARYANA,0,0,0
132145,Panipat,HARYANA,0,0,0
132157,Karnal,HARYANA,0,0,0
133001,Ambala,HARYANA,0,0,0
133004,Ambala,HARYANA,0,0,0
133005,Ambala,HARYANA,0,0,0
133006,Ambala,HARYANA,0,0,0
133101,Ambala,HARYANA,0,0,0
133102,Ambala,HARYANA,0,0,0
133103,Yamuna Nagar,HARYANA,0,0,0
133104,Ambala,HARYANA,0,0,0
133201,Ambala,HARYANA,0,0,0
133202,Ambala,HARYANA,0,0,0
133203,Ambala,HARYANA,0,0,0
133204,Yamuna Nagar,HARYANA,0,0,0
133205,Ambala,HARYANA,0,0,0
133206,Yamuna Nagar,HARYANA,0,0,0
133207,Ambala,HARYANA,0,0,0
133301,Panchkula,HARYANA,0,0,0
133302,Panchkula,HARYANA,0,0,0
134003,Ambala,HARYANA,0,0,0
134005,Ambala,HARYANA,0,0,0
134007,Ambala,HARYANA,0,0,0
134101,Panchkula,HARYANA,0,0,0
134102,Panchkula,HARYANA,0,0,0
134103,Panchkula,HARYANA,0,0,0
134104,Panchkula,HARYANA,0,0,0
134107,Panchkula,HARYANA,0,0,0
134108,Panchkula,HARYANA,0,0,0
134109,Panchkula,HARYANA,0,0,0
134112,Panchkula,HARYANA,0,0,0
134113,Panchkula,HARYANA,0,0,0
134114,Panchkula,HARYANA,0,0,0
134116,Panchkula,HARYANA,0,0,0
134117,Panchkula,HARYANA,0,0,0
134118,Ambala,HARYANA,0,0,0
134201,Ambala,HARYANA,0,0,0
134202,Ambala,HARYANA,0,0,0
134203,Ambala,HARYANA,0,0,0
134204,Ambala,HARYANA,0,0,0
134205,Panchkula,HARYANA,0,0,0
135001,Yamuna Nagar,HARYANA,0,0,0
135002,Yamuna Nagar,HARYANA,0,0,0
